"","Group.1","x","SH_max.x","SH_min.x","SH_sd.x","T_mean.x","T_max.x","T_min.x","T_sd.x","Rad_mean.x","Rad_max.x","Rad_min.x","Rad_sd.x","Per_mean.x","Per_max.x","Per_min.x","Per_sd.x","Per_sum.x"
"1156",2017-03-01,144.828671328671,153.3,140,3.65672489457365,-5.89020979020979,-1.8,-8.2,1.85549487287994,100.223776223776,517,0,140.702534066313,0.335664335664336,3,0,0.638484737308133,48
"1157",2017-03-02,137.534265734266,140.9,134.7,1.86657420988309,-2.45104895104895,1,-6.8,2.48966503581198,97.1398601398601,507,0,134.598390704577,0.181818181818182,2,0,0.404836319495406,26
"1158",2017-03-03,130.888194444444,137.9,122.3,4.66842535750228,-0.708333333333333,1.6,-5.7,2.09346301915926,129.569444444444,524,0,178.850472873967,0.1875,2,0,0.425888622624647,27
"1159",2017-03-04,112.977083333333,122.5,106.9,4.83422701929956,1.13958333333333,4.1,-3.4,1.65124317439286,126.298611111111,602,0,177.364587562271,0.472222222222222,7,0,0.923238784047687,68
"1160",2017-03-05,110.179166666667,113,105.7,1.7592463023828,-3.99236111111111,-1.9,-5.9,1.22252060266141,85.0972222222222,475,0,115.262990223692,0.305555555555556,2,0,0.505601874633842,44
"1161",2017-03-06,120.602777777778,125.3,112.6,3.27618967757039,-4.84166666666667,-2.6,-6.9,1.25995337909088,137.333333333333,576,0,193.671916365825,0.493055555555556,13,0,1.2900725180342,71
"1162",2017-03-07,142.132638888889,152.3,120.3,7.70358040326224,-7.01597222222222,-5.5,-7.8,0.493547624818779,104.243055555556,573,0,150.383483997179,0.833333333333333,7,0,1.36386944394977,120
"1163",2017-03-08,145.29375,148.8,143.2,1.47554511676478,-5.54166666666667,-0.8,-8.5,2.43032991515627,109.222222222222,470,0,151.690725313304,0.229166666666667,2,0,0.497809888727298,33
"1164",2017-03-09,158.427083333333,165.8,145.4,5.50715007268523,-0.885416666666667,-0.2,-2,0.410350140443789,65.5138888888889,254,0,85.7868545940135,0.444444444444444,5,0,0.677074928224682,64
"1165",2017-03-10,157.263888888889,183,147.5,11.8889006891285,-5.79513888888889,-2,-7.3,1.4207419445074,87.1875,391,0,120.034259022834,0.597222222222222,9,0,1.39589530356818,86
"1166",2017-03-11,145.301388888889,147.7,142.5,1.38306369714673,-3.05694444444444,0,-7.6,2.83049460151396,140.333333333333,515,0,186.13988273354,0.152777777777778,2,0,0.397886803392508,22
"1167",2017-03-12,143.243356643357,144.6,140.5,0.929755339660972,-1.41118881118881,1.8,-3.8,1.1047977888465,146.643356643357,506,-2,192.892052041463,0.146853146853147,1,0,0.355203610683851,21
"1168",2017-03-13,141.636805555556,143.5,136.1,1.54769155994473,-1.80416666666667,4.4,-5.4,2.06918365038509,142.201388888889,503,-2,188.014899716858,0.152777777777778,2,0,0.379905112268701,22
"1169",2017-03-14,141.372027972028,142.7,139.8,0.806697806693888,-1.43216783216783,0.5,-3.3,1.08800122971408,93.4055944055944,468,-1,132.567773672071,0.20979020979021,2,0,0.441717946670179,30
"1170",2017-03-15,138.931944444444,140.4,136.6,0.778707264564165,-0.000694444444444445,2.1,-2.4,1.23194635519036,110.222222222222,503,-1,147.973416836039,0.215277777777778,2,0,0.445069248080156,31
"1171",2017-03-16,137.068531468531,138.9,134.2,1.21998727656836,2.14685314685315,4.9,-0.6,1.55698354970659,148.174825174825,566,-1,193.926961519069,0.13986013986014,1,0,0.348060999215121,20
