DateTime,Time,Time,corImpulses,Distance,AccuDist
19.11.2016,0.346528,08:19:00,1,0.785,166.42
19.11.2016,0.398831,09:34:19,0,0.785,167.205
19.11.2016,0.477303,11:27:19,1,0.785,167.99
19.11.2016,0.520856,12:30:02,0,0.785,168.775
19.11.2016,0.606655,14:33:35,1,0.785,169.56
19.11.2016,0.654259,15:42:08,0,0.785,170.345
19.11.2016,0.728009,17:28:20,1,0.785,171.13
19.11.2016,0.775625,18:36:54,0,0.785,171.915
19.11.2016,0.851435,20:26:04,1,0.785,172.7
19.11.2016,0.892338,21:24:58,0,0.785,173.485
19.11.2016,0.983738,23:36:35,1,0.785,174.27
20.11.2016,0.041887,01:00:19,0,0.785,175.055
20.11.2016,0.18897,04:32:07,1,0.785,175.84
20.11.2016,0.302755,07:15:58,0,0.785,176.625
20.11.2016,0.476065,11:25:32,1,0.785,177.41
20.11.2016,0.534375,12:49:30,0,0.785,178.195
20.11.2016,0.619722,14:52:24,1,0.785,178.98
20.11.2016,0.670336,16:05:17,0,0.785,179.765
20.11.2016,0.804039,19:17:49,1,0.785,180.55
20.11.2016,0.934954,22:26:20,0,0.785,181.335
21.11.2016,0.197188,04:43:57,1,0.785,182.12
21.11.2016,0.336331,08:04:19,0,0.785,182.905
21.11.2016,0.438877,10:31:59,1,0.785,183.69
21.11.2016,0.475405,11:24:35,0,0.785,184.475
21.11.2016,0.553796,13:17:28,1,0.785,185.26
21.11.2016,0.620243,14:53:09,0,0.785,186.045
21.11.2016,0.754005,18:05:46,1,0.785,186.83
21.11.2016,0.85397,20:29:43,0,0.785,187.615
22.11.2016,0.011215,00:16:09,1,0.785,188.4
22.11.2016,0.084201,02:01:15,0,0.785,189.185
22.11.2016,0.211771,05:04:57,1,0.785,189.97
22.11.2016,0.294988,07:04:47,0,0.785,190.755
22.11.2016,0.416725,10:00:05,1,0.785,191.54
22.11.2016,0.471563,11:19:03,0,0.785,192.325
22.11.2016,0.572708,13:44:42,1,0.785,193.11
22.11.2016,0.642153,15:24:42,0,0.785,193.895
22.11.2016,0.825567,19:48:49,1,0.785,194.68
23.11.2016,0.004329,00:06:14,0,0.785,195.465
24.11.2016,0.575127,13:48:11,1,0.785,196.25
25.11.2016,0.54206,13:00:34,0,0.785,197.035
26.11.2016,0.452882,10:52:09,1,0.785,197.82
29.11.2016,0.808692,19:24:31,0,0.785,198.605
30.11.2016,0.536308,12:52:17,1,0.785,199.39
30.11.2016,0.637639,15:18:12,1,0.785,200.175
02.12.2016,0.525799,12:37:09,0,0.785,200.96
04.12.2016,0.423993,10:10:33,1,0.785,201.745
04.12.2016,0.603785,14:29:27,0,0.785,202.53
05.12.2016,0.407002,09:46:05,1,0.785,203.315
05.12.2016,0.437581,10:30:07,0,0.785,204.1
05.12.2016,0.460428,11:03:01,1,0.785,204.885
05.12.2016,0.510822,12:15:35,0,0.785,205.67
06.12.2016,0.428056,10:16:24,1,0.785,206.455
06.12.2016,0.629653,15:06:42,0,0.785,207.24
07.12.2016,0.464028,11:08:12,1,0.785,208.025
07.12.2016,0.605058,14:31:17,0,0.785,208.81
07.12.2016,0.655208,15:43:30,1,0.785,209.595
07.12.2016,0.693044,16:37:59,0,0.785,210.38
08.12.2016,0.397141,09:31:53,1,0.785,211.165
08.12.2016,0.612465,14:41:57,1,0.785,211.95
09.12.2016,0.494074,11:51:28,0,0.785,212.735
10.12.2016,0.589063,14:08:15,0,0.785,213.52
12.12.2016,0.336007,08:03:51,1,0.785,214.305
12.12.2016,0.681944,16:22:00,0,0.785,215.09
14.12.2016,0.533519,12:48:16,1,0.785,215.875
27.12.2016,0.271944,06:31:36,0,0.785,216.66
28.12.2016,0.251701,06:02:27,1,0.785,217.445
30.12.2016,0.333137,07:59:43,0,0.785,218.23
12.01.2017,0.448079,10:45:14,1,0.785,219.015
16.01.2017,0.641389,15:23:36,0,0.785,219.8
16.01.2017,0.657465,15:46:45,0,0.785,220.585
31.01.2017,0.842766,20:13:35,1,0.785,221.37
11.02.2017,0.395752,09:29:53,0,0.785,222.155
19.02.2017,0.509919,12:14:17,1,0.785,222.94
21.02.2017,0.322222,07:44:00,0,0.785,223.725
21.02.2017,0.329919,07:55:05,0,0.785,224.51
21.02.2017,0.337963,08:06:40,0,0.785,225.295
24.02.2017,0.291192,06:59:19,1,0.785,226.08
25.02.2017,0.576377,13:49:59,0,0.785,226.865
25.02.2017,0.58662,14:04:44,0,0.785,227.65
25.02.2017,0.598808,14:22:17,0,0.785,228.435
25.02.2017,0.604456,14:30:25,0,0.785,229.22
25.02.2017,0.613634,14:43:38,0,0.785,230.005
27.02.2017,0.214942,05:09:31,1,0.785,230.79
28.02.2017,0.052176,01:15:08,0,0.785,231.575
01.03.2017,0.353553,08:29:07,1,0.785,232.36
02.03.2017,0.070231,01:41:08,0,0.785,233.145
03.03.2017,0.341921,08:12:22,1,0.785,233.93
04.03.2017,0.189167,04:32:24,0,0.785,234.715
05.03.2017,0.54537,13:05:20,1,0.785,235.5
06.03.2017,0.236713,05:40:52,0,0.785,236.285
07.03.2017,0.30647,07:21:19,1,0.785,237.07
08.03.2017,0.004248,00:06:07,0,0.785,237.855
09.03.2017,0.239375,05:44:42,1,0.785,238.64
09.03.2017,0.886053,21:15:55,0,0.785,239.425
09.03.2017,0.89309,21:26:03,0,0.785,240.21
09.03.2017,0.902639,21:39:48,1,0.785,240.995
09.03.2017,0.929861,22:19:00,0,0.785,241.78
09.03.2017,0.937697,22:30:17,0,0.785,242.565
09.03.2017,0.943461,22:38:35,0,0.785,243.35
10.03.2017,0.502222,12:03:12,1,0.785,244.135
10.03.2017,0.897477,21:32:22,0,0.785,244.92
11.03.2017,0.625498,15:00:43,1,0.785,245.705
12.03.2017,0.094699,02:16:22,0,0.785,246.49
12.03.2017,0.754734,18:06:49,1,0.785,247.275
13.03.2017,0.227384,05:27:26,0,0.785,248.06
13.03.2017,0.988773,23:43:50,1,0.785,248.845
14.03.2017,0.419907,10:04:40,0,0.785,249.63
14.03.2017,0.436921,10:29:10,0,0.785,250.415
15.03.2017,0.191505,04:35:46,1,0.785,251.2
15.03.2017,0.669306,16:03:48,0,0.785,251.985
15.03.2017,0.678044,16:16:23,0,0.785,252.77
16.03.2017,0.670556,16:05:36,1,0.785,253.555
17.03.2017,0.239155,05:44:23,0,0.785,254.34
17.03.2017,0.931389,22:21:12,1,0.785,255.125
18.03.2017,0.339144,08:08:22,0,0.785,255.91
19.03.2017,0.019931,00:28:42,1,0.785,256.695
19.03.2017,0.417338,10:00:58,0,0.785,257.48
20.03.2017,0.172801,04:08:50,1,0.785,258.265
20.03.2017,0.636169,15:16:05,0,0.785,259.05
21.03.2017,0.514016,12:20:11,1,0.785,259.835
21.03.2017,0.987743,23:42:21,0,0.785,260.62
22.03.2017,0.76691,18:24:21,1,0.785,261.405
23.03.2017,0.245116,05:52:58,0,0.785,262.19
24.03.2017,0.28191,06:45:57,1,0.785,262.975
24.03.2017,0.886852,21:17:04,0,0.785,263.76
25.03.2017,0.475752,11:25:05,1,0.785,264.545
