statnr,datum,RSX
12311,2015011303,0
12311,2015011304,0
12311,2015011305,0
12311,2015011306,0
12311,2015011307,0
12311,2015011308,0
12311,2015011309,0
12311,2015011310,0
12311,2015011311,0
12311,2015011312,0
12311,2015011313,0
12311,2015011314,0
12311,2015011315,0
12311,2015011316,0
12311,2015011317,0
12311,2015011318,0
12311,2015011319,0
12311,2015011320,0
12311,2015011321,0
12311,2015011322,0
12311,2015011323,0
12311,2015011324,0
12311,2015011401,0
12311,2015011402,0
12311,2015011403,0
12311,2015011404,0
12311,2015011405,0
12311,2015011406,0
12311,2015011407,0
12311,2015011408,0
12311,2015011409,0
12311,2015011410,0
12311,2015011411,0
12311,2015011412,0
12311,2015011413,0
12311,2015011414,0
12311,2015011415,0
12311,2015011416,0.2
12311,2015011417,1.4
12311,2015011418,0.4
12311,2015011419,0
12311,2015011420,0
12311,2015011421,0.1
12311,2015011422,0.4
12311,2015011423,0.9
12311,2015011424,0.1
12311,2015011501,0
12311,2015011502,0
12311,2015011503,0
12311,2015011504,0
12311,2015011505,0
12311,2015011506,0
12311,2015011507,0
12311,2015011508,0
12311,2015011509,0
12311,2015011510,0
12311,2015011511,0
12311,2015011512,0
12311,2015011513,0
12311,2015011514,0
12311,2015011515,0
12311,2015011516,0
12311,2015011517,0
12311,2015011518,0
12311,2015011519,0
12311,2015011520,0
12311,2015011521,0
12311,2015011522,0
12311,2015011523,0
12311,2015011524,0
12311,2015011601,0
12311,2015011602,0
12311,2015011603,0
12311,2015011604,0
12311,2015011605,0
12311,2015011606,0
12311,2015011607,0
12311,2015011608,0
12311,2015011609,0
12311,2015011610,0
12311,2015011611,0
12311,2015011612,0
12311,2015011613,0
12311,2015011614,0
12311,2015011615,0
12311,2015011616,0
12311,2015011617,0
12311,2015011618,0
12311,2015011619,0
12311,2015011620,0
12311,2015011621,0
12311,2015011622,0
12311,2015011623,0
12311,2015011624,0
12311,2015011701,0
12311,2015011702,0
12311,2015011703,0
12311,2015011704,0
12311,2015011705,0
12311,2015011706,0
12311,2015011707,0
12311,2015011708,0.9
12311,2015011709,1.6
12311,2015011710,2
12311,2015011711,0.3
12311,2015011712,0.5
12311,2015011713,1.3
12311,2015011714,1
12311,2015011715,2.4
12311,2015011716,1.5
12311,2015011717,0.4
12311,2015011718,0.6
12311,2015011719,0.1
12311,2015011720,0
12311,2015011721,0
12311,2015011722,0
12311,2015011723,0.1
12311,2015011724,0.1
12311,2015011801,0.2
12311,2015011802,0.2
12311,2015011803,0
12311,2015011804,0
12311,2015011805,0
12311,2015011806,0.1
12311,2015011807,0
12311,2015011808,0
12311,2015011809,0
12311,2015011810,0
12311,2015011811,0
12311,2015011812,0
12311,2015011813,0
12311,2015011814,0
12311,2015011815,0
12311,2015011816,0
12311,2015011817,0
12311,2015011818,0
12311,2015011819,0
12311,2015011820,0
12311,2015011821,0
12311,2015011822,0
12311,2015011823,0
12311,2015011824,0
12311,2015011901,0
12311,2015011902,0
12311,2015011903,0
12311,2015011904,0
12311,2015011905,0
12311,2015011906,0
12311,2015011907,0
12311,2015011908,0
12311,2015011909,0
12311,2015011910,0
12311,2015011911,0
12311,2015011912,0
12311,2015011913,0
12311,2015011914,0
12311,2015011915,0
12311,2015011916,0
12311,2015011917,0
12311,2015011918,0
12311,2015011919,0
12311,2015011920,0
12311,2015011921,0
12311,2015011922,0
12311,2015011923,0
12311,2015011924,0
12311,2015012001,0
12311,2015012002,0
12311,2015012003,0
12311,2015012004,0
12311,2015012005,0
12311,2015012006,0
12311,2015012007,0
12311,2015012008,0
12311,2015012009,0
12311,2015012010,0
12311,2015012011,0
12311,2015012012,0
12311,2015012013,0
12311,2015012014,0
12311,2015012015,0
12311,2015012016,0
12311,2015012017,0
12311,2015012018,0
12311,2015012019,0
12311,2015012020,0
12311,2015012021,0
12311,2015012022,0
12311,2015012023,0
12311,2015012024,0
12311,2015012101,0
12311,2015012102,0
12311,2015012103,0
12311,2015012104,0
12311,2015012105,0
12311,2015012106,0
12311,2015012107,0
12311,2015012108,0
12311,2015012109,0
12311,2015012110,0
12311,2015012111,0
12311,2015012112,0
12311,2015012113,0
12311,2015012114,0
12311,2015012115,0
12311,2015012116,0
12311,2015012117,0
12311,2015012118,0
12311,2015012119,0
12311,2015012120,0
12311,2015012121,0
12311,2015012122,0
12311,2015012123,0
12311,2015012124,0
12311,2015012201,0
12311,2015012202,0
12311,2015012203,0
12311,2015012204,0
12311,2015012205,0
12311,2015012206,0
12311,2015012207,0
12311,2015012208,0
12311,2015012209,0
12311,2015012210,0
12311,2015012211,0
12311,2015012212,0
12311,2015012213,0
12311,2015012214,0
12311,2015012215,0
12311,2015012216,0
12311,2015012217,0
12311,2015012218,0
12311,2015012219,0
12311,2015012220,0
12311,2015012221,0
12311,2015012222,0
12311,2015012223,0
12311,2015012224,0
12311,2015012301,0
12311,2015012302,0
12311,2015012303,0
12311,2015012304,0
12311,2015012305,0
12311,2015012306,0
12311,2015012307,0
12311,2015012308,0
12311,2015012309,0
12311,2015012310,0
12311,2015012311,0
12311,2015012312,0
12311,2015012313,0
12311,2015012314,0
12311,2015012315,0
12311,2015012316,0
12311,2015012317,0
12311,2015012318,0
12311,2015012319,0
12311,2015012320,0
12311,2015012321,0
12311,2015012322,0.1
12311,2015012323,0
12311,2015012324,0
12311,2015012401,0
12311,2015012402,0.1
12311,2015012403,0
12311,2015012404,0
12311,2015012405,0
12311,2015012406,0
12311,2015012407,0
12311,2015012408,0
12311,2015012409,0
12311,2015012410,0
12311,2015012411,0.1
12311,2015012412,0
12311,2015012413,0.1
12311,2015012414,0
12311,2015012415,0.1
12311,2015012416,0
12311,2015012417,0
12311,2015012418,0.1
12311,2015012419,0
12311,2015012420,0
12311,2015012421,0
12311,2015012422,0.2
12311,2015012423,1
12311,2015012424,0.7
12311,2015012501,0.3
12311,2015012502,0.1
12311,2015012503,0
12311,2015012504,0
12311,2015012505,0.3
12311,2015012506,0
12311,2015012507,0
12311,2015012508,0.3
12311,2015012509,0.2
12311,2015012510,0.2
12311,2015012511,0.1
12311,2015012512,0
12311,2015012513,0.2
12311,2015012514,0.1
12311,2015012515,0
12311,2015012516,0
12311,2015012517,0
12311,2015012518,0
12311,2015012519,0
12311,2015012520,0
12311,2015012521,0
12311,2015012522,0
12311,2015012523,0.1
12311,2015012524,0
12311,2015012601,0
12311,2015012602,0
12311,2015012603,0
12311,2015012604,0
12311,2015012605,0
12311,2015012606,0
12311,2015012607,0
12311,2015012608,0
12311,2015012609,0
12311,2015012610,0
12311,2015012611,0
12311,2015012612,0
12311,2015012613,0
12311,2015012614,0
12311,2015012615,0
12311,2015012616,0
12311,2015012617,0
12311,2015012618,0
12311,2015012619,0
12311,2015012620,0
12311,2015012621,0
12311,2015012622,0
12311,2015012623,0
12311,2015012624,0.5
12311,2015012801,-8888
12311,2015012802,0
12311,2015012803,0
12311,2015012804,0
12311,2015012805,0
12311,2015012806,0
12311,2015012807,0
12311,2015012808,0
12311,2015012809,0
12311,2015012810,0
12311,2015012811,0
12311,2015012812,0
12311,2015012813,0
12311,2015012814,0
12311,2015012815,0
12311,2015012816,0
12311,2015012817,0
12311,2015012818,0
